feature,all_n,none_n,all_median,none_median,all_mean,none_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
repair_difficulty,287,117,-0.6545677804703322,0.0684006013983548,-0.5815152262048552,0.538021088766049,-0.722968381868687,6829.5,2.3988076399934147e-22,-0.593227910301081,large,8.635707503976293e-21,True,True,0.593227910301081,True
reasoning_composite,287,117,0.7333182500071839,-0.31697461235302,0.5064257152812861,-0.5234424399964785,1.050292862360204,26054.5,9.890508495832043e-21,0.5518329908573811,large,3.461677973541215e-19,True,True,0.5518329908573811,True
actionability,287,117,0.8491089986580442,-0.6691051638247543,0.5493454590272943,-0.5263670801725252,1.5182141624827985,25552.5,6.729714354087109e-19,0.5219333512016439,large,2.288102880389617e-17,True,True,0.5219333512016439,True
clarity,287,117,0.7623879238337528,-0.2346268238579989,0.5348462305452171,-0.5414005923785379,0.9970147476917517,25263.0,1.3817395121649502e-18,0.5046904315196998,large,4.5597403901443356e-17,True,True,0.5046904315196998,True
ambiguity_type_count,287,117,-0.6117211791839219,0.1722959883042973,-0.537963466563079,0.5475520684695989,-0.7840171674882191,8541.0,1.5426543981983754e-29,-0.4912891986062718,large,5.707821273333989e-28,True,True,0.4912891986062718,True
txt_description_line_count,287,117,0.380614447057068,-0.5967488977391603,0.21114585748173567,-0.17139323066693649,0.9773633447962282,24700.0,9.261256130932768e-14,0.4711575687185443,medium,2.7783768392798305e-12,True,True,0.4711575687185443,True
txt_title_avg_sentence_len,287,117,0.363561074525272,-0.70287777031615,0.48574945088253835,-0.28122425781731075,1.066438844841422,24583.0,6.406751276464721e-14,0.46418892760356173,medium,1.9860928957040635e-12,True,True,0.46418892760356173,True
expected_observed_alignment,287,117,0.7027131095927159,-0.2663462570628048,0.5423287196410181,-0.5106817383990259,0.9690593666555207,24479.5,3.2121403763081288e-18,0.45802436046338485,medium,1.0278849204186012e-16,True,True,0.45802436046338485,True
txt_title_digit_density,287,117,0.4312458687446945,-0.6450552541976357,0.3676201410861967,-0.24680168504147298,1.07630112294233,24042.5,2.0584513313884075e-12,0.43199618809374907,medium,5.969508861026381e-11,True,True,0.43199618809374907,True
coleman_liau,287,103,19.94,28.28,23.133728222996517,36.585728155339815,-8.34,8412.0,8.667116914889819e-11,-0.4308717567064714,medium,2.340121567020251e-09,True,True,0.4308717567064714,True
technical_completeness,287,117,0.6863970062505214,-0.375467746355658,0.5180525942519807,-0.5002595442046748,1.0618647526061793,24007.0,2.931213287701286e-12,0.42988177134518596,medium,8.2073972055636e-11,True,True,0.42988177134518596,True
ari,287,103,20.0,28.2,22.822299651567945,36.881553398058244,-8.2,8462.0,1.2127345092178296e-10,-0.42748892121376136,medium,3.1531097239663568e-09,True,True,0.42748892121376136,True
flesch,287,103,33.1,8.84,24.114982578397214,-14.071844660194182,24.26,20874.5,5.337426809834619e-10,0.4122999898514935,medium,1.2809824343603086e-08,True,True,0.4122999898514935,True
embedding_cluster_distance,287,117,0.3466604823015235,-0.3560082488758912,0.3047847416327026,-0.5884072533389478,0.7026687311774147,23552.0,2.1246952904353803e-10,0.40278150034247595,medium,5.311738226088451e-09,True,True,0.40278150034247595,True
description_length,287,117,0.0463689412084168,-0.5376062559055498,0.23495863368228828,-0.20908788285641863,0.5839751971139666,23043.0,4.0300437901800354e-09,0.3724649334405432,medium,9.269100717414082e-08,True,True,0.3724649334405432,True
embedding_cluster_size,287,117,-0.3447299154714549,0.1845320580379615,-0.3966057671394738,0.234881766406007,-0.5292619735094164,10931.0,2.5902614771018807e-08,-0.34893832454808066,medium,5.698575249624138e-07,True,True,0.34893832454808066,True
kincaid,287,103,12.7,14.9,13.55226480836237,18.22912621359223,-2.200000000000001,9735.5,2.743108122630255e-07,-0.34132810121443796,medium,5.760527057523535e-06,True,True,0.34132810121443796,True
concept_network_concept_breadth,287,117,0.410786675927473,-0.263097163757085,0.3473899383961731,-0.3667716006316324,0.6738838396845579,21475.5,1.9896905607905298e-06,0.2791030108103279,small,3.979381121581059e-05,True,True,0.2791030108103279,True
semantic_coherence,287,117,-0.2890680938737278,-0.052551397007253,-0.19281833993425032,0.519787445256606,-0.23651669686647478,12135.5,1.234080720360682e-05,-0.2771970576848626,small,0.0002344753368685296,True,True,0.2771970576848626,True
