feature,mean,std
actionability,0.0,1.000599
ambiguity_reasoning,-0.86893,1.153009
ambiguity_type_count,0.0,1.000599
ari,29.755117,19.609767
clarity,0.0,1.000599
coleman_liau,29.722503,19.482388
complexity_description,-0.389977,0.875767
complexity_readability,8.677752,42.60228
complexity_reasoning,-0.81449,1.099152
concept_network_concept_breadth,-0.0,1.000599
description_length,0.0,1.000599
embedding_cluster_distance,0.0,1.000599
embedding_cluster_size,-0.0,1.000599
expected_observed_alignment,-0.0,1.000599
flesch,5.465265,60.412493
kincaid,15.841924,8.104915
num_versions,0.0,1.000599
readability_combo,54.012355,98.306175
reasoning_clarity,0.915099,1.13089
reasoning_composite,-0.0,1.000599
repair_difficulty,-0.0,1.000599
structure_actionability,0.382517,0.787841
technical_completeness,-0.0,1.000599
txt_description_line_count,-0.0,1.000599
txt_title_avg_sentence_len,0.0,1.000599
txt_title_digit_density,-0.0,1.000599
