project,bug_id,score_FlexFL,success_FlexFL,score_BRaIn,success_BRaIn,score_boostnsift,success_boostnsift,score_buglocator,success_buglocator,score_locus,success_locus,score_any,y_any
JxPath,14,2.0980511243240816,1,3.4029404434281876,1,2.2223959677666603,1,2.21641176547489,1,1.614261689011518,0,2.49011712101761,1
Mockito,17,-3.375672090775859,0,-5.468682258883457,0,-3.500753847800487,0,-4.822630200248528,0,-3.407646422250474,0,-5.441356804718569,0
Cli,5,2.0594338022934284,1,3.389488081479764,0,2.1215892662245768,0,2.6794155546920515,0,2.020364410654644,1,2.607328014243108,1
Codec,14,1.4493083319110598,0,1.221648364234785,0,2.383097090901377,0,1.869102113888292,0,1.6720933188483598,0,2.186008588831283,0
Jsoup,16,0.6105617653525057,1,0.5254759343885013,1,0.5148691248730904,1,0.9077764820390438,1,1.1632229106097258,1,0.8260926113213197,1
Math,99,1.691267286638823,1,2.59621173937496,1,1.7642087648409468,1,2.6715360997710116,1,2.4104362727606103,1,2.1195761321889828,1
Csv,9,2.040485634526187,1,3.068244866116204,1,2.1816920422832795,1,2.9680401319651137,1,2.59284013268904,1,3.0631527933805187,1
Closure,152,-8.039544907827011,1,-10.297109863924325,0,-12.282826633593563,0,-12.567247771840123,0,-10.354690373347697,0,-11.250661968715459,1
Closure,15,-6.296712167451077,0,-7.701125238071619,0,-7.412866945054315,0,-8.876141304401484,0,-7.3817356522544655,0,-8.07540235824379,0
Cli,13,1.614820497201743,1,2.247189831690157,1,2.56728040087106,1,2.649788392328175,1,2.0162685937348495,0,2.421638891455678,1
Closure,146,-5.47835933535261,1,-6.841833683305797,0,-6.038111420092953,0,-6.948900561684122,0,-6.53937409182749,0,-7.141934065369064,1
Math,66,2.1019751081300555,1,2.9606553133369555,1,2.6049172455012877,1,2.8898952158663205,1,2.0351303887159067,1,2.915962640337749,1
Math,72,2.099248298237811,1,2.803707946490225,0,3.088253699309053,1,2.312079472602751,1,2.067598130861722,1,2.971286534768082,1
Closure,29,-4.398771638525649,1,-6.130521881232276,0,-4.220211161550311,0,-5.594182615211905,0,-4.660142417917328,0,-4.762410421258061,1
Lang,12,2.337757050554429,1,3.2375266729676486,1,2.8207445402644677,1,2.9585044861266776,1,2.361524443492784,1,3.637151203727411,1
JacksonDatabind,81,0.3223709458108628,1,0.03693029776254921,1,0.37566178692286734,1,0.7276239277209201,0,1.2202053476460684,0,0.5258538016388935,1
Time,19,1.749534405881767,1,2.6417318502521208,1,2.4050324430248535,1,2.561536289474327,1,2.272158229218678,1,2.8732352016705085,1
JacksonDatabind,95,0.2855350662894029,1,0.7187199169318571,0,0.2444048866715546,1,1.1083371584908783,1,0.9959880784872941,1,0.7504254452050406,1
Time,25,1.7320677693624564,0,2.3440527928465156,1,2.398399893953106,1,2.570702578511974,1,2.702876114068224,0,2.4710671850156554,1
JacksonDatabind,42,1.2832124972665717,1,1.7824256689013092,0,1.008027026199494,0,2.361623322383174,0,1.586345500716123,0,1.4916826134867875,1
JacksonDatabind,56,1.5154480615314672,1,2.389768223512667,1,1.3764447524963244,0,2.7331355479409996,1,2.138524506078273,0,1.9388949624854845,1
JacksonDatabind,57,0.1867628828711458,1,0.5306882605344977,1,-0.30867675657058974,1,0.829991336155907,1,0.5018560559807226,1,0.3433510593685488,1
JacksonDatabind,43,3.938764522566567,0,5.9476691734929785,0,6.350590460613844,0,6.189783357334569,0,5.14498771499295,0,4.139187472862092,0
Time,24,2.1804984349112226,0,2.2480575422993097,0,2.2498260838071094,0,1.9775953428532052,0,2.023487585820473,0,2.656183478330285,0
JacksonDatabind,94,-0.01219282938732015,0,-0.19033079147519227,1,-0.06998909886875354,1,0.6193170141648184,0,0.9318274157175344,0,0.3790009666205047,1
Time,18,2.002189582005512,1,2.70924791771806,1,2.221112866714155,1,2.422078328624305,1,2.379214590814048,1,2.250285408126627,1
JacksonCore,26,0.9307906261999196,1,1.908709089587332,0,1.1237328526257857,0,2.0549617877308273,0,1.5946443943970072,1,1.4443211565402323,1
JacksonDatabind,80,0.3584159659766316,1,0.16100052251439456,0,0.5756749268059858,1,0.9264156496293389,0,1.3171530565590384,0,0.462333486504652,1
Closure,28,-5.926096641428946,0,-7.669972864720941,0,-7.821875812927523,0,-8.97230014649923,0,-7.431765211987811,0,-7.37190693940724,0
Math,73,2.629367791954814,1,3.5127843228488675,1,3.2753126467306948,1,2.77554847569513,1,2.6490895050273586,1,3.22184279988154,1
